snapped_at,price,market_cap,total_volume
2018-10-05 00:00:00 UTC,1.0062418761688314,0.0,31264.420429900205
2018-10-06 00:00:00 UTC,1.0015295223068545,0.0,20254.71225490974
2018-10-07 00:00:00 UTC,1.0011765043127938,0.0,49324.69066914409
2018-10-08 00:00:00 UTC,1.001905911132403,0.0,47076.72814229494
2018-10-09 00:00:00 UTC,1.0019831097094631,0.0,55542.21550910832
2018-10-10 00:00:00 UTC,1.0005908753691823,0.0,41812.5021286073
2018-10-11 00:00:00 UTC,0.9977933708509774,0.0,48789.483685295076
2018-10-12 00:00:00 UTC,1.0076602944652702,0.0,101593.97537189744
2018-10-13 00:00:00 UTC,1.008262383169264,0.0,185015.91613545088
2018-10-14 00:00:00 UTC,1.0137145808037764,0.0,133806.38034900566
2018-10-15 00:00:00 UTC,1.0246151034767481,0.0,114047.4710718572
2018-10-16 00:00:00 UTC,1.0378565115974134,0.0,440176.7156372268
2018-10-17 00:00:00 UTC,1.038785121859443,24736312.470275804,579371.8867656252
2018-10-18 00:00:00 UTC,1.0334273839324508,24590235.09243715,1820012.2270029974
2018-10-19 00:00:00 UTC,1.019065257484703,0.0,577029.8722863413
2018-10-20 00:00:00 UTC,1.0155311574843262,0.0,182006.87148386173
2018-10-21 00:00:00 UTC,1.034745251346367,0.0,171499.2218408958
2018-10-22 00:00:00 UTC,1.0283612634572388,0.0,211250.721845975
2018-10-23 00:00:00 UTC,1.0204771456056614,0.0,475698.11633971217
2018-10-24 00:00:00 UTC,1.006844552537861,0.0,259743.07761605395
2018-10-25 00:00:00 UTC,1.0096900574205956,129207942.55093452,227379.72065610412
2018-10-26 00:00:00 UTC,1.0093298967997846,128775493.59195422,478573.27928325883
2018-10-27 00:00:00 UTC,1.0157784724489962,129502938.57304983,480637.374163149
2018-10-28 00:00:00 UTC,1.0056238692821504,128177230.83110094,337149.8515233129
2018-10-29 00:00:00 UTC,1.016774736673949,129589926.82555479,111787.67259390782
2018-10-30 00:00:00 UTC,1.00418109790882,128032732.9641366,390030.24399696314
2018-10-31 00:00:00 UTC,1.0037392302463237,127904252.15148543,193593.4113510009
2018-11-01 00:00:00 UTC,1.00194193605794,127652782.4548048,226475.41149282028
2018-11-02 00:00:00 UTC,1.00597560454346,128091487.97650129,157278.21119808473
2018-11-03 00:00:00 UTC,1.0096509551570723,133609203.34167849,301594.61617014447
2018-11-04 00:00:00 UTC,1.0072336042044014,133279984.89563128,1076361.4296374975
2018-11-05 00:00:00 UTC,0.9903074053049711,131039278.35077067,580733.5817851663
2018-11-06 00:00:00 UTC,1.0014061186845773,134613399.2820283,648445.151684969
2018-11-07 00:00:00 UTC,1.0045647066109376,134834229.73327753,662717.3855460199
2018-11-08 00:00:00 UTC,1.0125163832228556,135701197.28911525,1008705.8047196124
2018-11-09 00:00:00 UTC,1.0068568016169066,135158925.1922598,585822.0635445067
2018-11-10 00:00:00 UTC,1.0139763332383507,136052182.85713974,670938.8665384788
2018-11-11 00:00:00 UTC,1.0117477643349067,135335501.5123472,1069596.8847862147
2018-11-12 00:00:00 UTC,1.0153749392120224,136458935.59849563,1099443.0518112443
2018-11-13 00:00:00 UTC,1.0168076002220288,136284804.8815593,1107909.6749479396
2018-11-14 00:00:00 UTC,1.0193995557689386,141683057.71215698,690848.2232066703
2018-11-15 00:00:00 UTC,1.043464578265039,148577982.7291999,1467371.2254000164
2018-11-16 00:00:00 UTC,1.0271398911620848,146981646.37469363,632527.0707602842
2018-11-17 00:00:00 UTC,1.0176866357525292,145736699.8505958,370954.2955516491
2018-11-18 00:00:00 UTC,1.021177629328473,146146329.3057387,1494778.7539830387
2018-11-19 00:00:00 UTC,1.0143983558831842,145255943.1814611,1513923.2921288707
2018-11-20 00:00:00 UTC,1.0265780989562938,146842391.15358862,8720148.122468185
2018-11-21 00:00:00 UTC,1.0226307060064177,161782019.63132745,11378281.951904796
2018-11-22 00:00:00 UTC,1.0173723133785122,166203162.36999398,5791640.496330559
2018-11-23 00:00:00 UTC,1.0352277219039814,169951951.4498348,5064458.714495927
2018-11-24 00:00:00 UTC,1.0202056325071216,169591534.98133108,4569302.392899478
2018-11-25 00:00:00 UTC,1.0238814414968982,170718063.19309643,5071511.231937934
2018-11-26 00:00:00 UTC,1.0250351308187968,170695963.22602105,5870586.287725668
2018-11-27 00:00:00 UTC,1.0247661500889826,171920667.15118015,4902632.234159027
2018-11-28 00:00:00 UTC,1.01860825428322,175112664.8668014,4313047.844982913
2018-11-29 00:00:00 UTC,1.006388661311445,178905400.63030013,5176434.594688605
2018-11-30 00:00:00 UTC,1.010019230853864,179073854.49766392,5821626.0808549905
2018-12-01 00:00:00 UTC,1.014455024544729,179488336.81746954,17108423.676476702
